id solution fitness
0 0000000000 88
1 1000000000 68
2 0100000000 74
3 1100000000 54
4 0010000000 68
5 1010000000 48
6 0110000000 54
7 1110000000 34
8 0001000000 80
9 1001000000 60
10 0101000000 66
11 1101000000 46
12 0011000000 60
13 1011000000 40
14 0111000000 46
15 1111000000 26
16 0000100000 60
17 1000100000 40
18 0100100000 46
19 1100100000 26
20 0010100000 40
21 1010100000 20
22 0110100000 26
23 1110100000 6
24 0001100000 52
25 1001100000 32
26 0101100000 38
27 1101100000 18
28 0011100000 32
29 1011100000 12
30 0111100000 18
31 1111100000 2
32 0000010000 60
33 1000010000 40
34 0100010000 46
35 1100010000 26
36 0010010000 40
37 1010010000 20
38 0110010000 26
39 1110010000 6
40 0001010000 52
41 1001010000 32
42 0101010000 38
43 1101010000 18
44 0011010000 32
45 1011010000 12
46 0111010000 18
47 1111010000 2
48 0000110000 32
49 1000110000 12
50 0100110000 18
51 1100110000 2
52 0010110000 12
53 1010110000 8
54 0110110000 2
55 1110110000 22
56 0001110000 24
57 1001110000 4
58 0101110000 10
59 1101110000 10
60 0011110000 4
61 1011110000 16
62 0111110000 10
63 1111110000 30
64 0000001000 66
65 1000001000 46
66 0100001000 52
67 1100001000 32
68 0010001000 46
69 1010001000 26
70 0110001000 32
71 1110001000 12
72 0001001000 58
73 1001001000 38
74 0101001000 44
75 1101001000 24
76 0011001000 38
77 1011001000 18
78 0111001000 24
79 1111001000 4
80 0000101000 38
81 1000101000 18
82 0100101000 24
83 1100101000 4
84 0010101000 18
85 1010101000 2
86 0110101000 4
87 1110101000 16
88 0001101000 30
89 1001101000 10
90 0101101000 16
91 1101101000 4
92 0011101000 10
93 1011101000 10
94 0111101000 4
95 1111101000 24
96 0000011000 38
97 1000011000 18
98 0100011000 24
99 1100011000 4
100 0010011000 18
101 1010011000 2
102 0110011000 4
103 1110011000 16
104 0001011000 30
105 1001011000 10
106 0101011000 16
107 1101011000 4
108 0011011000 10
109 1011011000 10
110 0111011000 4
111 1111011000 24
112 0000111000 10
113 1000111000 10
114 0100111000 4
115 1100111000 24
116 0010111000 10
117 1010111000 30
118 0110111000 24
119 1110111000 44
120 0001111000 2
121 1001111000 18
122 0101111000 12
123 1101111000 32
124 0011111000 18
125 1011111000 38
126 0111111000 32
127 1111111000 52
128 0000000100 82
129 1000000100 62
130 0100000100 68
131 1100000100 48
132 0010000100 62
133 1010000100 42
134 0110000100 48
135 1110000100 28
136 0001000100 74
137 1001000100 54
138 0101000100 60
139 1101000100 40
140 0011000100 54
141 1011000100 34
142 0111000100 40
143 1111000100 20
144 0000100100 54
145 1000100100 34
146 0100100100 40
147 1100100100 20
148 0010100100 34
149 1010100100 14
150 0110100100 20
151 1110100100 0
152 0001100100 46
153 1001100100 26
154 0101100100 32
155 1101100100 12
156 0011100100 26
157 1011100100 6
158 0111100100 12
159 1111100100 8
160 0000010100 54
161 1000010100 34
162 0100010100 40
163 1100010100 20
164 0010010100 34
165 1010010100 14
166 0110010100 20
167 1110010100 0
168 0001010100 46
169 1001010100 26
170 0101010100 32
171 1101010100 12
172 0011010100 26
173 1011010100 6
174 0111010100 12
175 1111010100 8
176 0000110100 26
177 1000110100 6
178 0100110100 12
179 1100110100 8
180 0010110100 6
181 1010110100 14
182 0110110100 8
183 1110110100 28
184 0001110100 18
185 1001110100 2
186 0101110100 4
187 1101110100 16
188 0011110100 2
189 1011110100 22
190 0111110100 16
191 1111110100 36
192 0000001100 60
193 1000001100 40
194 0100001100 46
195 1100001100 26
196 0010001100 40
197 1010001100 20
198 0110001100 26
199 1110001100 6
200 0001001100 52
201 1001001100 32
202 0101001100 38
203 1101001100 18
204 0011001100 32
205 1011001100 12
206 0111001100 18
207 1111001100 2
208 0000101100 32
209 1000101100 12
210 0100101100 18
211 1100101100 2
212 0010101100 12
213 1010101100 8
214 0110101100 2
215 1110101100 22
216 0001101100 24
217 1001101100 4
218 0101101100 10
219 1101101100 10
220 0011101100 4
221 1011101100 16
222 0111101100 10
223 1111101100 30
224 0000011100 32
225 1000011100 12
226 0100011100 18
227 1100011100 2
228 0010011100 12
229 1010011100 8
230 0110011100 2
231 1110011100 22
232 0001011100 24
233 1001011100 4
234 0101011100 10
235 1101011100 10
236 0011011100 4
237 1011011100 16
238 0111011100 10
239 1111011100 30
240 0000111100 4
241 1000111100 16
242 0100111100 10
243 1100111100 30
244 0010111100 16
245 1010111100 36
246 0110111100 30
247 1110111100 50
248 0001111100 4
249 1001111100 24
250 0101111100 18
251 1101111100 38
252 0011111100 24
253 1011111100 44
254 0111111100 38
255 1111111100 58
256 0000000010 70
257 1000000010 50
258 0100000010 56
259 1100000010 36
260 0010000010 50
261 1010000010 30
262 0110000010 36
263 1110000010 16
264 0001000010 62
265 1001000010 42
266 0101000010 48
267 1101000010 28
268 0011000010 42
269 1011000010 22
270 0111000010 28
271 1111000010 8
272 0000100010 42
273 1000100010 22
274 0100100010 28
275 1100100010 8
276 0010100010 22
277 1010100010 2
278 0110100010 8
279 1110100010 12
280 0001100010 34
281 1001100010 14
282 0101100010 20
283 1101100010 0
284 0011100010 14
285 1011100010 6
286 0111100010 0
287 1111100010 20
288 0000010010 42
289 1000010010 22
290 0100010010 28
291 1100010010 8
292 0010010010 22
293 1010010010 2
294 0110010010 8
295 1110010010 12
296 0001010010 34
297 1001010010 14
298 0101010010 20
299 1101010010 0
300 0011010010 14
301 1011010010 6
302 0111010010 0
303 1111010010 20
304 0000110010 14
305 1000110010 6
306 0100110010 0
307 1100110010 20
308 0010110010 6
309 1010110010 26
310 0110110010 20
311 1110110010 40
312 0001110010 6
313 1001110010 14
314 0101110010 8
315 1101110010 28
316 0011110010 14
317 1011110010 34
318 0111110010 28
319 1111110010 48
320 0000001010 48
321 1000001010 28
322 0100001010 34
323 1100001010 14
324 0010001010 28
325 1010001010 8
326 0110001010 14
327 1110001010 6
328 0001001010 40
329 1001001010 20
330 0101001010 26
331 1101001010 6
332 0011001010 20
333 1011001010 0
334 0111001010 6
335 1111001010 14
336 0000101010 20
337 1000101010 0
338 0100101010 6
339 1100101010 14
340 0010101010 0
341 1010101010 20
342 0110101010 14
343 1110101010 34
344 0001101010 12
345 1001101010 8
346 0101101010 2
347 1101101010 22
348 0011101010 8
349 1011101010 28
350 0111101010 22
351 1111101010 42
352 0000011010 20
353 1000011010 0
354 0100011010 6
355 1100011010 14
356 0010011010 0
357 1010011010 20
358 0110011010 14
359 1110011010 34
360 0001011010 12
361 1001011010 8
362 0101011010 2
363 1101011010 22
364 0011011010 8
365 1011011010 28
366 0111011010 22
367 1111011010 42
368 0000111010 8
369 1000111010 28
370 0100111010 22
371 1100111010 42
372 0010111010 28
373 1010111010 48
374 0110111010 42
375 1110111010 62
376 0001111010 16
377 1001111010 36
378 0101111010 30
379 1101111010 50
380 0011111010 36
381 1011111010 56
382 0111111010 50
383 1111111010 70
384 0000000110 64
385 1000000110 44
386 0100000110 50
387 1100000110 30
388 0010000110 44
389 1010000110 24
390 0110000110 30
391 1110000110 10
392 0001000110 56
393 1001000110 36
394 0101000110 42
395 1101000110 22
396 0011000110 36
397 1011000110 16
398 0111000110 22
399 1111000110 2
400 0000100110 36
401 1000100110 16
402 0100100110 22
403 1100100110 2
404 0010100110 16
405 1010100110 4
406 0110100110 2
407 1110100110 18
408 0001100110 28
409 1001100110 8
410 0101100110 14
411 1101100110 6
412 0011100110 8
413 1011100110 12
414 0111100110 6
415 1111100110 26
416 0000010110 36
417 1000010110 16
418 0100010110 22
419 1100010110 2
420 0010010110 16
421 1010010110 4
422 0110010110 2
423 1110010110 18
424 0001010110 28
425 1001010110 8
426 0101010110 14
427 1101010110 6
428 0011010110 8
429 1011010110 12
430 0111010110 6
431 1111010110 26
432 0000110110 8
433 1000110110 12
434 0100110110 6
435 1100110110 26
436 0010110110 12
437 1010110110 32
438 0110110110 26
439 1110110110 46
440 0001110110 0
441 1001110110 20
442 0101110110 14
443 1101110110 34
444 0011110110 20
445 1011110110 40
446 0111110110 34
447 1111110110 54
448 0000001110 42
449 1000001110 22
450 0100001110 28
451 1100001110 8
452 0010001110 22
453 1010001110 2
454 0110001110 8
455 1110001110 12
456 0001001110 34
457 1001001110 14
458 0101001110 20
459 1101001110 0
460 0011001110 14
461 1011001110 6
462 0111001110 0
463 1111001110 20
464 0000101110 14
465 1000101110 6
466 0100101110 0
467 1100101110 20
468 0010101110 6
469 1010101110 26
470 0110101110 20
471 1110101110 40
472 0001101110 6
473 1001101110 14
474 0101101110 8
475 1101101110 28
476 0011101110 14
477 1011101110 34
478 0111101110 28
479 1111101110 48
480 0000011110 14
481 1000011110 6
482 0100011110 0
483 1100011110 20
484 0010011110 6
485 1010011110 26
486 0110011110 20
487 1110011110 40
488 0001011110 6
489 1001011110 14
490 0101011110 8
491 1101011110 28
492 0011011110 14
493 1011011110 34
494 0111011110 28
495 1111011110 48
496 0000111110 14
497 1000111110 34
498 0100111110 28
499 1100111110 48
500 0010111110 34
501 1010111110 54
502 0110111110 48
503 1110111110 68
504 0001111110 22
505 1001111110 42
506 0101111110 36
507 1101111110 56
508 0011111110 42
509 1011111110 62
510 0111111110 56
511 1111111110 76
512 0000000001 76
513 1000000001 56
514 0100000001 62
515 1100000001 42
516 0010000001 56
517 1010000001 36
518 0110000001 42
519 1110000001 22
520 0001000001 68
521 1001000001 48
522 0101000001 54
523 1101000001 34
524 0011000001 48
525 1011000001 28
526 0111000001 34
527 1111000001 14
528 0000100001 48
529 1000100001 28
530 0100100001 34
531 1100100001 14
532 0010100001 28
533 1010100001 8
534 0110100001 14
535 1110100001 6
536 0001100001 40
537 1001100001 20
538 0101100001 26
539 1101100001 6
540 0011100001 20
541 1011100001 0
542 0111100001 6
543 1111100001 14
544 0000010001 48
545 1000010001 28
546 0100010001 34
547 1100010001 14
548 0010010001 28
